frag_id,Species,Treatment,Trial,weight_g_weekly,surface_area_cm3_weekly,rgb_weekly
Mcav 1.1,Mcav,PBR,PBR 1,0.0538333333333334,0.2926666666666666,-2.473092592592593
Mcav 1.2,Mcav,PBR,PBR 1,0.002666666666666373,0.1416666666666666,-2.3173148148148144
Mcav 1.3,Mcav,PBR,PBR 1,-0.0045000000000001705,0.1766666666666666,-0.9702222222222238
Mcav 1.4,Mcav,Control,Control,0.027666666666666135,0.2221666666666667,-1.9141111111111115
Mcav 2.1,Mcav,PBR,PBR 1,-0.023666666666666874,0.16499999999999995,-1.6248333333333373
Mcav 2.2,Mcav,PBR,PBR 1,0.00216666666666665,0.2271666666666666,1.4281111111111073
Mcav 2.3,Mcav,PBR,PBR 1,-0.016500000000000032,0.4096666666666667,0.379296296296296
Mcav 2.4,Mcav,Control,Control,-0.014333333333333087,0.05550000000000003,-1.3013333333333297
Mcav 3.1,Mcav,PBR,PBR 1,0.01750000000000007,0.2693333333333334,-2.405333333333329
Mcav 3.2,Mcav,PBR,PBR 1,-0.03049999999999997,0.17350000000000007,-0.24187037037036893
Mcav 3.3,Mcav,PBR,PBR 1,-0.0025000000000000946,0.26500000000000007,-1.1837962962962958
Mcav 3.4,Mcav,Control,Control,-0.00883333333333288,0.14349999999999996,-1.8056666666666648
Ofav 1.1,Ofav,PBR,PBR 1,-0.020166666666666444,0.053833333333333254,0.49516666666666725
Ofav 1.2,Ofav,PBR,PBR 1,-0.024333333333333467,0.14166666666666675,0.6155370370370387
Ofav 1.3,Ofav,PBR,PBR 1,-0.02266666666666654,-0.006166666666666654,0.6578518518518498
Ofav 1.4,Ofav,Control,Control,-0.010166666666666657,0.09450000000000003,-0.7655925925925947
Ofav 2.1,Ofav,PBR,PBR 1,-0.014166666666666808,0.05316666666666666,1.0900740740740744
Ofav 2.2,Ofav,PBR,PBR 1,-0.009000000000000044,0.02849999999999997,2.736888888888887
Ofav 2.3,Ofav,PBR,PBR 1,-0.0216666666666665,0.025666666666666726,3.2524814814814818
Ofav 2.4,Ofav,Control,Control,-0.04749999999999973,0.05233333333333334,-0.3058888888888873
Ofav 3.1,Ofav,PBR,PBR 1,0.01133333333333327,0.1051666666666667,-0.39629629629629665
Ofav 3.2,Ofav,PBR,PBR 1,-0.039,0.1791666666666667,1.2239074074074026
Ofav 3.3,Ofav,PBR,PBR 1,-0.0086666666666666,0.13716666666666674,0.3632037037037037
Ofav 3.4,Ofav,Control,Control,-0.006333333333333376,0.18533333333333335,1.029092592592593
Pcli 1.1,Pcli,PBR,PBR 1,-0.017833333333333812,0.2688333333333333,-0.8860370370370371
Pcli 1.2,Pcli,PBR,PBR 1,-0.03699999999999992,0.06766666666666676,-1.1223518518518507
Pcli 1.3,Pcli,PBR,PBR 1,-0.04900000000000008,0.0195,1.490166666666667
