DATAH	Record	Date	Time	MINIOCEA	CHK	
DATA	0000000	2024-06-18	13:29:55.001	1.6105	 31
DATA	0000001	2024-06-18	13:30:10.001	0.88214	 73
DATA	0000002	2024-06-18	13:30:25.002	1.9383	 34
DATA	0000003	2024-06-18	13:30:40.003	38.660	 32
DATA	0000004	2024-06-18	13:30:55.004	26.729	 43
DATA	0000005	2024-06-18	13:31:10.004	155.82	 31
DATA	0000006	2024-06-18	13:31:25.005	0.82751	 89
DATA	0000007	2024-06-18	13:31:40.006	1.9019	 37
DATA	0000008	2024-06-18	13:31:55.006	201.44	 35
DATA	0000009	2024-06-18	13:32:10.007	0.0000	 18
DATA	0000010	2024-06-18	13:32:25.008	88.463	 46
DATA	0000011	2024-06-18	13:32:40.009	1.4284	 35
DATA	0000012	2024-06-18	13:32:55.009	17.380	 42
DATA	0000013	2024-06-18	13:33:10.010	1.7016	 23
DATA	0000014	2024-06-18	13:33:25.011	104.12	 24
DATA	0000015	2024-06-18	13:33:40.012	144.78	 39
DATA	0000016	2024-06-18	13:33:55.012	0.35406	 88
DATA	0000017	2024-06-18	13:34:10.013	0.0000	 16
DATA	0000018	2024-06-18	13:34:25.014	29.211	 39
DATA	0000019	2024-06-18	13:34:40.014	11.176	 38
DATA	0000020	2024-06-18	13:34:55.015	156.66	 45
DATA	0000021	2024-06-18	13:35:10.016	29.754	 42
DATA	0000022	2024-06-18	13:35:25.017	12.197	 43
DATA	0000023	2024-06-18	13:35:40.017	8.3298	 51
DATA	0000024	2024-06-18	13:35:55.018	79.096	 60
DATA	0000025	2024-06-18	13:36:10.019	28.162	 42
DATA	0000026	2024-06-18	13:36:25.019	0.0000	 30
DATA	0000027	2024-06-18	13:36:40.020	18.357	 44
DATA	0000028	2024-06-18	13:36:55.021	16.877	 57
DATA	0000029	2024-06-18	13:37:10.022	195.90	 46
DATA	0000030	2024-06-18	13:37:25.022	23.406	 35
DATA	0000031	2024-06-18	13:37:40.023	121.10	 24
DATA	0000032	2024-06-18	13:37:55.024	28.166	 50
DATA	0000033	2024-06-18	13:38:10.024	215.87	 43
DATA	0000034	2024-06-18	13:38:25.025	26.539	 53
DATA	0000035	2024-06-18	13:38:40.026	28.840	 49
DATA	0000036	2024-06-18	13:38:55.027	0.0000	 35
DATA	0000037	2024-06-18	13:39:10.027	114.53	 42
DATA	0000038	2024-06-18	13:39:25.028	141.76	 55
DATA	0000039	2024-06-18	13:39:40.029	5.9307	 59
DATA	0000040	2024-06-18	13:39:55.029	34.573	 55
DATA	0000041	2024-06-18	13:40:10.030	19.354	 31
DATA	0000042	2024-06-18	13:40:25.031	21.092	 31
DATA	0000043	2024-06-18	13:40:40.032	22.008	 28
DATA	0000044	2024-06-18	13:40:55.032	27.154	 42
DATA	0000045	2024-06-18	13:41:10.033	16.482	 38
DATA	0000046	2024-06-18	13:41:25.034	19.186	 50
DATA	0000047	2024-06-18	13:41:40.035	26.816	 47
DATA	0000048	2024-06-18	13:41:55.035	2.5486	 56
DATA	0000049	2024-06-18	13:42:10.036	17.769	 55
DATA	0000050	2024-06-18	13:42:25.037	20.995	 49
DATA	0000051	2024-06-18	13:42:40.037	151.46	 39
DATA	0000052	2024-06-18	13:42:55.038	0.0000	 30
DATA	0000053	2024-06-18	13:43:10.039	26.950	 46
DATA	0000054	2024-06-18	13:43:25.040	29.780	 49
DATA	0000055	2024-06-18	13:43:40.040	0.0000	 21
DATA	0000056	2024-06-18	13:43:55.041	21.471	 44
DATA	0000057	2024-06-18	13:44:10.042	114.21	 32
DATA	0000058	2024-06-18	13:44:25.042	0.0000	 30
DATA	0000059	2024-06-18	13:44:40.043	27.067	 51
DATA	000006	
DATA	0000000	2024-06-18	13:48:03.001	31.468	 34
DATA	0000001	2024-06-18	13:48:18.001	28.927	 47
DATA	0000002	2024-06-18	13:48:33.002	3.0000	 21
DATA	0000003	2024-06-18	13:48:48.003	176.53	 48
DATA	0000004	2024-06-18	13:49:03.004	19.646	 46
DATA	0000005	2024-06-18	13:49:18.004	23.192	 44
DATA	0000006	2024-06-18	13:49:33.005	140.88	 47
DATA	0000007	2024-06-18	13:49:48.006	102.70	 44
DATA	0000008	2024-06-18	13:50:03.006	37.943	 44
DATA	0000009	2024-06-18	13:50:18.007	29.614	 48
DATA	0000010	2024-06-18	13:50:33.008	24.086	 36
DATA	0000011	2024-06-18	13:50:48.009	0.0000	 24
DATA	0000012	2024-06-18	13:51:03.009	29.000	 28
DATA	0000013	2024-06-18	13:51:18.010	42.436	 35
DATA	0000014	2024-06-18	13:51:33.011	18.315	 33
DATA	0000015	2024-06-18	13:51:48.012	155.71	 42
