DATAH	Record	Date	Time	MINIOCEA	CHK	
DATA	0000000	2024-07-24	11:10:42.001	276.25	 22
DATA	0000001	2024-07-24	11:10:57.001	195.63	 31
DATA	0000002	2024-07-24	11:11:12.002	279.24	 25
DATA	0000003	2024-07-24	11:11:27.003	283.82	 32
DATA	0000004	2024-07-24	11:11:42.004	268.40	 28
DATA	0000005	2024-07-24	11:11:57.004	267.67	 43
DATA	0000006	2024-07-24	11:12:12.005	273.22	 25
DATA	0000007	2024-07-24	11:12:27.006	281.17	 36
DATA	0000008	2024-07-24	11:12:42.006	273.11	 29
DATA	0000009	2024-07-24	11:12:57.007	264.39	 47
DATA	0000010	2024-07-24	11:13:12.008	247.42	 27
DATA	0000011	2024-07-24	11:13:27.009	232.09	 32
DATA	0000012	2024-07-24	11:13:42.009	236.68	 39
DATA	0000013	2024-07-24	11:13:57.010	238.08	 34
DATA	0000014	2024-07-24	11:14:12.011	282.39	 31
DATA	0000015	2024-07-24	11:14:27.012	290.13	 30
DATA	0000016	2024-07-24	11:14:42.012	293.12	 30
DATA	0000017	2024-07-24	11:14:57.013	296.00	 38
DATA	0000018	2024-07-24	11:15:12.014	295.88	 47
DATA	0000019	2024-07-24	11:15:27.014	298.26	 49
DATA	0000020	2024-07-24	11:15:42.015	299.86	 46
DATA	0000021	2024-07-24	11:15:57.016	305.60	 34
DATA	0000022	2024-07-24	11:16:12.017	323.34	 29
DATA	0000023	2024-07-24	11:16:27.017	338.64	 45
DATA	0000024	2024-07-24	11:16:42.018	356.19	 44
DATA	0000025	2024-07-24	11:16:57.019	342.43	 44
DATA	0000026	2024-07-24	11:17:12.019	374.18	 44
DATA	0000027	2024-07-24	11:17:27.020	374.14	 39
DATA	0000028	2024-07-24	11:17:42.021	369.30	 40
DATA	0000029	2024-07-24	11:17:57.022	356.06	 47
DATA	0000030	2024-07-24	11:18:12.022	345.78	 38
DATA	0000031	2024-07-24	11:18:27.023	325.25	 36
DATA	0000032	2024-07-24	11:18:42.024	316.25	 35
DATA	0000033	2024-07-24	11:18:57.024	311.80	 38
DATA	0000034	2024-07-24	11:19:12.025	313.25	 33
DATA	0000035	2024-07-24	11:19:27.026	321.94	 46
DATA	0000036	2024-07-24	11:19:42.027	318.67	 51
DATA	0000037	2024-07-24	11:19:57.027	353.96	 59
DATA	0000038	2024-07-24	11:20:12.028	404.84	 38
DATA	0000039	2024-07-24	11:20:27.029	450.11	 37
DATA	0000040	2024-07-24	11:20:42.029	542.49	 39
DATA	0000041	2024-07-24	11:20:57.030	611.32	 27
DATA	0000042	2024-07-24	11:21:12.031	694.30	 30
DATA	0000043	2024-07-24	11:21:27.032	778.34	 45
DATA	0000044	2024-07-24	11:21:42.032	781.58	 43
DATA	0000045	2024-07-24	11:21:57.033	839.43	 49
DATA	0000046	2024-07-24	11:22:12.034	879.36	 49
DATA	0000047	2024-07-24	11:22:27.035	764.92	 52
DATA	0000048	2024-07-24	11:22:42.035	789.97	 62
DATA	0000049	2024-07-24	11:22:57.036	699.87	 69
DATA	0000050	2024-07-24	11:23:12.037	625.29	 39
DATA	0000051	2024-07-24	11:23:27.037	566.27	 48
DATA	0000052	2024-07-24	11:23:42.038	536.43	 42
DATA	0000053	2024-07-24	11:23:57.039	518.22	 47
DATA	0000054	2024-07-24	11:24:12.040	505.83	 35
DATA	0000055	2024-07-24	11:24:27.040	481.98	 51
DATA	0000056	2024-07-24	11:24:42.041	535.55	 43
DATA	0000057	2024-07-24	11:24:57.042	556.33	 50
DATA	0000058	2024-07-24	11:25:12.042	572.61	 42
DATA	0000059	2024-07-24	11:25:27.043	481.98	 59
DATA	0000060	2024-07-24	11:25:42.044	581.09	 42
DATA	0000061	2024-07-24	11:25:57.045	573.99	 60
DATA	0000062	2024-07-24	11:26:12.045	574.61	 43
DATA	0000063	2024-07-24	11:26:27.046	591.27	 52
DATA	0000064	2024-07-24	11:26:42.047	606.28	 49
DATA	0000065	2024-07-24	11:26:57.047	620.55	 52
DATA	0000066	2024-07-24	11:27:12.048	658.43	 54
DATA	0000067	2024-07-24	11:27:27.049	681.92	 62
DATA	0000068	2024-07-24	11:27:42.050	727.06	 48
DATA	0000069	2024-07-24	11:27:57.050	761.15	 53
DATA	0000070	2024-07-24	11:28:12.051	803.72	 38
DATA	0000071	2024-07-24	11:28:27.052	848.63	 55
DATA	0000072	2024-07-24	11:28:42.053	875.21	 48
DATA	0000073	2024-07-24	11:28:57.053	876.67	 66
DATA	0000074	2024-07-24	11:29:12.054	943.08	 50
DATA	0000075	2024-07-24	11:29:27.055	950.33	 54
DATA	0000076	2024-07-24	11:29:42.055	908.81	 58
DATA	0000077	2024-07-24	11:29:57.056	1027.0	 50
DATA	0000078	2024-07-24	11:30:12.057	1029.7	 44
DATA	0000079	2024-07-24	11:30:27.058	996.61	 64
DATA	0000080	2024-07-24	11:30:42.058	1019.6	 39
DATA	0000081	2024-07-24	11:30:57.059	1010.4	 36
DATA	0000082	2024-07-24	11:31:12.060	1016.3	 26
