Date,Time,Site,Unit ID,User ID,F,DO %,DO mg/L,C-uS/cm,SAL-PSU,pH,ORP mV,Chl RFU,PE RFU
2/27/25,06:42:12PM,MiniOcean,,,75.9,1064.8,73.86,49336,32.71,8.07,143.9,0.7,-0.74
9/20/24,09:45:27AM,R1,,,75,316.8,22.21,48449,32.41,7.68,174.9,-5.39,-1.16
9/20/24,09:47:09AM,R2,,,75.5,404.1,27.8,51848,34.73,7.85,162.1,-3.27,-1.13
9/20/24,02:44:51PM,MiniOcean,,,77.6,1046.1,71.58,49626,32.23,8.16,131.2,-3.33,-1.14
9/23/24,09:31:46AM,R1,,,75.7,368.6,25.49,50394,33.57,7.9,176.9,-5.55,-1.27
9/23/24,09:34:53AM,R2,,,74.4,364.6,25.26,52048,35.38,7.88,184.2,-4.44,-1.24
9/24/24,12:53:04PM,R1,,,75.5,493.6,34.19,50333,33.61,7.95,235.2,-5.75,-1.26
9/24/24,12:56:39PM,R2,,,75.3,435.6,30.11,51103,34.27,7.92,229.7,-4.22,-1.21
9/25/24,12:42:03PM,R1,,,75.5,473.3,32.81,50107,33.44,7.94,168,-4.69,-1.3
9/25/24,12:44:23PM,R2,,,75.3,422.1,29.25,50526,33.84,7.92,174.6,-4.34,-1.24
9/25/24,02:26:05PM,MiniOcean,,,78.2,1706,116.05,49949,32.22,8.21,146.9,-1.08,-0.94
9/26/24,12:50:14PM,R1,,,75.6,368.6,25.61,49415,32.89,7.88,201.4,-5.52,-1.28
9/26/24,12:51:48PM,R2,,,75.5,419.9,29.06,50477,33.71,7.94,185.5,-2.56,-1.19
9/27/24,09:48:29AM,R2,,,75.3,274.6,19.12,49356,32.95,7.98,159.4,-5.51,-1.29
9/27/24,09:49:03AM,R1,,,75.4,334.3,23.25,49451,32.97,7.88,164.2,-5.09,-1.29
9/27/24,09:50:03AM,R2,,,75.3,384.8,26.69,50313,33.69,7.85,169.3,-3.32,-1.25
9/27/24,02:30:13PM,MiniOcean,,,79.1,1461.9,98.58,50509,32.28,8.2,135.7,10.27,-0.48
9/30/24,10:54:08AM,R2,,,75.3,417.8,28.89,50979,34.17,7.88,169.9,0.28,-1.15
9/30/24,10:55:42AM,R1,,,75.6,440.5,30.48,50372,33.6,7.94,170.9,-5.62,-1.28
9/30/24,02:26:58PM,MiniOcean,,,78.4,1396.8,94.82,50201,32.35,8.3,195.6,14.95,-0.48
10/1/24,01:21:15PM,R1,,,75.6,502.6,34.87,49807,33.18,7.97,194.8,-5.06,-1.28
10/1/24,01:24:16PM,R2,,,75.4,489.6,33.86,50900,34.08,7.96,199.7,-4.72,-1.26
10/1/24,02:50:30PM,MiniOcean,,,78.6,1348.2,91.31,50292,32.31,8.23,155,-1.2,-0.94
10/2/24,12:56:35PM,R1,,,75.6,497.5,34.48,50028,33.34,7.98,163.9,-5.54,-1.26
10/2/24,12:58:56PM,R2,,,75.4,485.8,33.54,51220,34.32,7.95,168.3,-4.33,-1.26
10/2/24,02:24:30PM,MiniOcean,,,78.4,1438.4,97.57,50213,32.32,8.21,213.2,1.57,-0.85
10/3/24,02:26:03PM,MiniOcean,,,78.6,1454.6,98.49,50315,32.31,8.22,153.2,-0.26,-0.93
10/3/24,03:39:55PM,R1,,,,,,,,,,,
10/3/24,03:41:43PM,R2,,,75.3,406,28.11,50690,33.93,8.02,153.7,-1.41,-1.06
10/4/24,09:59:54AM,R1,,,75.4,433.1,30.05,49967,33.35,7.91,150.5,-5.55,-1.28
10/4/24,10:00:43AM,R2,,,75.4,426.9,29.47,51289,34.38,7.84,159.2,-5.9,-1.3
10/4/24,02:38:58PM,MiniOcean,,,78,1283.5,87.43,49991,32.34,8.21,138.8,1.87,-0.85
10/7/24,09:40:10AM,MiniOcean,,,75.5,114.4,7.93,49917,33.28,7.9,155.5,-5.27,-5.45
10/7/24,09:40:11AM,MiniOcean,,,75.5,114.7,7.96,49918,33.28,7.9,155.6,-5.33,-5.45
10/7/24,09:40:23AM,R1,,,75.5,116.5,8.08,49930,33.28,7.9,156.5,-4.79,-5.46
10/7/24,09:41:38AM,R2,,,75.3,114.8,7.91,51946,34.91,7.82,165.6,-4.85,-5.45
10/7/24,02:22:52PM,MiniOcean,,,78,347,23.6,50201,32.47,8.16,159.4,0.08,-5.3
10/8/24,02:26:33PM,MiniOcean,,,77.1,283,19.43,49701,32.48,8.13,144.5,0.11,-5.29
10/8/24,02:34:00PM,R1,,,75.6,156.7,10.84,50362,33.56,8.04,141.5,-5.03,-5.46
10/8/24,02:35:38PM,R2,,,75.2,145.8,10.07,51473,34.57,7.95,149.1,-3.95,-5.46
10/9/24,12:26:20PM,R1,,,75.7,152.3,10.55,49927,33.23,7.96,167.3,-5.18,-5.46
10/9/24,12:28:50PM,R2,,,75.4,149.1,10.26,51845,34.78,7.9,174.5,-3.97,-5.48
10/9/24,02:36:44PM,MiniOcean,,,77.3,431.3,29.55,49883,32.55,8.18,178.6,-2.68,-5.32
10/10/24,01:18:03PM,R1,,,75.3,119.2,8.31,49265,32.87,7.84,148,-5.49,-5.46
10/10/24,01:19:35PM,R2,,,75.4,143.3,9.86,52025,34.91,7.93,145.4,-4.12,-5.45
10/11/24,09:31:11AM,R1,,,75.4,105.5,7.35,48987,32.64,7.87,139.7,-5.72,-5.47
10/11/24,09:32:54AM,R2,,,75.2,121.5,8.38,51852,34.85,7.86,158.8,-6.04,-5.45
10/11/24,02:23:21PM,MiniOcean,,,77.8,475.5,32.44,50039,32.46,8.17,210.4,0.89,-5.27
10/14/24,09:53:15AM,R1,,,75.6,103.1,7.13,50557,33.74,7.88,150.1,-5.71,-5.46
10/14/24,09:54:23AM,R2,,,75.4,112.3,7.73,51878,34.79,7.82,158.2,-5.87,-5.46
10/14/24,02:01:13PM,MiniOcean,,,77.2,436.1,29.9,49769,32.48,8.2,169,-0.32,-5.33
10/15/24,02:03:45PM,R1,,,75.5,164.2,11.34,50857,33.98,8.02,152.6,-5.83,-5.46
10/15/24,02:10:40PM,R2,,,75.3,152.9,10.55,51446,34.51,7.98,156.8,-6.03,-5.47
10/15/24,02:27:35PM,MiniOcean,,,78,428.6,29.18,50127,32.45,8.23,138.3,17.02,-4.87
10/16/24,03:10:33PM,MiniOcean,,,76.4,323.4,22.33,49428,32.54,8.12,131.6,-2.11,-5.32
10/16/24,03:24:37PM,R1,,,75.6,156.8,10.82,51139,34.17,8.01,140.2,-5.38,-5.46
10/16/24,03:25:38PM,R2,,,75.3,146.3,10.08,51776,34.76,7.97,143.6,-4.27,-5.47
10/17/24,01:20:20PM,R1,,,75.3,126.3,8.75,50435,33.75,7.84,172.1,-5.75,-5.48
10/17/24,01:22:03PM,R2,,,75.4,140,9.62,52119,34.97,7.92,167.4,-4.33,-5.44
10/17/24,02:21:34PM,MiniOcean,,,76.5,251.9,17.43,48739,32,8.09,144.1,-0.7,-5.37
10/18/24,11:39:21AM,R1,,,75.4,127,8.77,51342,34.41,7.88,140.7,-5.48,-5.48
10/18/24,11:41:01AM,R2,,,75.4,133,9.14,52236,35.08,7.91,150.8,-4.63,-5.45
10/18/24,03:07:34PM,MiniOcean,,,75.3,148.3,10.37,48168,32.05,7.92,137.4,-3.19,-5.43
10/21/24,09:59:29AM,R1,,,75.4,-71.8,-4.93,52596,35.35,7.93,164.5,-5.39,-5.46
10/21/24,10:00:41AM,R2,,,75.4,34.6,2.37,53415,35.95,7.89,176.2,-5.76,-5.48
10/21/24,02:34:29PM,MiniOcean,,,77.3,422.4,28.96,49673,32.4,8.16,190,0.3,-5.33
10/22/24,12:09:25PM,R1,,,75.5,136.1,9.36,51916,34.8,7.99,195.9,-5.64,-5.47
10/22/24,12:12:37PM,R2,,,75.5,135.3,9.3,52059,34.91,7.96,201.5,-4.85,-5.47
10/22/24,01:11:43PM,MiniOcean,,,78,488,33.22,50108,32.42,8.22,174.4,-2.3,-5.36
10/23/24,01:15:37PM,R1,,,75.6,147.5,10.14,51862,34.71,8.02,198.4,-5.47,-5.47
10/23/24,01:18:58PM,R2,,,75.5,145.5,9.98,52483,35.21,7.98,201.3,-5.17,-5.46
10/23/24,02:30:10PM,MiniOcean,,,77.8,378.1,25.81,49810,32.29,8.17,194.8,-2.65,-5.37
10/24/24,01:47:44PM,R1,,,75.2,98.8,6.82,51621,34.71,7.92,222.2,-5.36,-5.46
10/24/24,01:49:30PM,R2,,,75.4,134.8,9.25,52802,35.5,7.99,207,-3.68,-5.44
10/24/24,02:10:53PM,MiniOcean,,,77.3,188.6,12.98,48749,31.72,7.94,183.4,-2.07,-5.39
10/25/24,09:51:44AM,R1,,,74.9,106,7.35,51069,34.41,7.89,180.6,-5.73,-5.48
10/25/24,09:53:02AM,R2,,,75.5,117.6,8.06,52754,35.41,7.86,177.8,-5.33,-5.47
10/25/24,02:23:13PM,MiniOcean,,,77.4,350.6,24.05,49388,32.15,8.16,149.4,-1.08,-5.36
10/25/24,03:51:08PM,R1,,,75,147.5,10.33,48617,32.53,7.87,361.4,-3.41,-5.43
10/25/24,03:52:45PM,R2,,,75.4,146.4,10.18,49453,32.98,7.96,313.7,-1.79,-5.42
10/28/24,09:54:00AM,R2,,,75.5,117.1,8.1,50571,33.79,7.84,226.6,-5.82,-5.49
10/28/24,09:55:54AM,R1,,,75.7,129.2,8.92,50717,33.8,7.94,222.2,-5.72,-5.47
10/28/24,02:30:56PM,MiniOcean,,,77.1,387.8,26.66,49353,32.23,8.14,240.3,-2.48,-5.39
10/29/24,05:40:20PM,R1,,,75.5,130.8,9.16,47920,31.81,7.96,215.8,-5.89,-5.48
